time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,men_tas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz,v_object_x
1757904944.903352,0.0,-4.0,0.0,0.0,0.0,0.0,-1.1744734249268216,-5.877752626412078,0.1307406937845638,0.8998628419136567,-0.5878458947319332,-2.5992446810093273,0.0,0.001877752626412078,2.3259182457091394,0.0,0.0,0.0,-3.367750642200668
1757904944.9629545,0.0,-4.0,0.0,0.0,0.0,0.0,-1.2193080825180957,-5.9101115564132645,0.14084499328875197,0.9110583669252528,-0.6104447696133084,-2.633567809539522,0.0,0.0019101115564132646,2.4847267937769777,0.0,0.0,0.0,-3.642655367427398
1757904945.0229278,0.0,-4.0,0.0,0.0,0.0,0.0,-1.146587068260093,-5.9168218252887606,0.11816181921154384,0.926055707530252,-0.5654207222254769,-2.5991435080667045,0.0,0.0019168218252887605,2.3155063947665884,0.0,0.0,0.0,-2.249997782918118
1757904945.0828722,0.0,-4.0,0.0,0.0,0.0,0.0,-1.1554182087360447,-5.874361950528526,0.09804856087063768,0.9178220560302269,-0.5648897882201642,-2.586526941306965,0.0,0.0018743619505285256,2.3349414582936165,0.0,0.0,0.0,-3.5872498783862254
1757904945.133505,0.0,-4.0,0.0,0.0,0.0,0.0,-1.163449460413594,-6.007013370454342,0.024952703618794,1.021103138126282,-0.5393362340055404,-2.6372402203142937,0.0,0.0020070133704543414,2.416402695392545,0.0,0.0,0.0,-3.794918976893208
1757904945.1931276,0.0,-10.829913913329003,0.0,0.0,0.0,0.0,-2.5188934913382983,-5.479084541936364,3.5243582732906567,-0.691140413327349,-2.505149483268185,-3.367255110935335,0.0,-0.005350829371392639,2.299468036607119,0.0,0.0,0.0,-5.915288884608481
1757904945.2529297,0.0,-6.220649740581014,0.0,0.0,0.0,0.0,0.8540328938859328,-6.946379789181344,2.3371061437939273,1.1536419821007025,-0.4944552780492919,-2.441126255349609,0.0,0.0007257300486003295,2.6637831305762187,0.0,0.0,0.0,-5.486222434456509
1757904945.3040223,0.0,-7.550838898944587,0.0,0.0,0.0,0.0,1.3839293983822074,-6.7764218046789635,2.6846166044230255,1.2180868336098694,-0.3557834827855418,-2.3437476225093095,0.0,-0.0007744170942656234,2.504751613805622,0.0,0.0,0.0,-5.25259883624625
1757904945.3549786,0.0,-9.965112774870525,0.0,0.0,0.0,0.0,1.569734442633677,-7.979824216476452,3.663944513519764,1.5052696348981278,-0.6474844037019964,-2.816884520711809,0.0,-0.001985288558394073,2.9040116002237015,0.0,0.0,0.0,-6.830223517660887
1757904945.4150276,0.0,-10.148650736223933,0.0,0.0,0.0,0.0,1.3880401547087136,-8.556586828743322,3.814782092263408,1.917592096973735,-0.7729195077457378,-3.240242834570136,0.0,-0.0015920639074806112,3.1064554554844652,0.0,0.0,0.0,-7.563025721438058
1757904945.4729614,0.0,-10.993190617456504,0.0,0.0,0.0,0.0,1.552972246161415,-9.391902378318033,4.113917305310083,2.192367197599289,-0.8077971644713471,-3.4612602763354188,0.0,-0.0016012882391384712,3.0600973634801067,0.0,0.0,0.0,-6.483637759815208
1757904945.5230515,0.0,-11.43498582285421,0.0,0.0,0.0,0.0,1.7395161768649743,-8.898734142577421,4.230308214946678,1.9172608618498264,-0.7536161431100977,-3.1762578436296534,0.0,-0.0025362516802767895,2.968996330286964,0.0,0.0,0.0,-7.05685341723962
1757904945.5833046,0.0,-11.724552527054756,0.0,0.0,0.0,0.0,1.286655355873937,-9.01872223419526,4.509871296250869,1.9075691395730119,-1.0706977807115197,-3.4151991086763935,0.0,-0.0027058302928594955,3.0541559833163445,0.0,0.0,0.0,-7.944050162997387
1757904945.633712,0.0,-11.715722244331609,0.0,0.0,0.0,0.0,1.6618871417476333,-7.538759943463141,4.381715960797337,1.3392980163527537,-0.8082998930518908,-2.6570742833845444,0.0,-0.0041769623008684675,2.737929767031318,0.0,0.0,0.0,-7.763692495782693
1757904945.6930637,0.0,-11.257800504624415,0.0,0.0,0.0,0.0,1.2630681515677722,-7.114333132289582,4.322354728247399,1.2389351513070739,-0.9775016437625319,-2.6787605173401308,0.0,-0.004143467372334833,0.0,0.0,0.0,0.0,0.0
1757904945.753061,0.0,-10.800297738301433,0.0,0.0,0.0,0.0,1.5353007724961414,-6.964353844899636,4.0381035815994375,1.3891038566449454,-0.7314454311983151,-2.4908049274113555,0.0,-0.0038359438934017975,0.0,0.0,0.0,0.0,0.0
1757904945.8032916,0.0,-12.824961956155917,0.0,0.0,0.0,0.0,0.600796601313898,-6.767112730750796,5.094682258212491,0.5851270462972895,-1.5877100526455612,-2.9525640284560684,0.0,-0.006057849225405121,0.0,0.0,0.0,0.0,0.0
1757904945.8635917,0.0,-11.959083057245788,0.0,0.0,0.0,0.0,2.128557281174513,-9.002551445646544,4.28396903723352,2.185733492916173,-0.5243551117800536,-2.9379133800834802,0.0,-0.0029565316115992444,0.0,0.0,0.0,0.0,0.0
1757904945.9229805,0.0,-12.072315630768967,0.0,0.0,0.0,0.0,1.9612210179045446,-8.526863729290916,4.412724880292773,1.8744427815549567,-0.6527045330453343,-2.874416389405339,0.0,-0.0035454519014780513,0.0,0.0,0.0,0.0,0.0
1757904945.9732065,0.0,-12.334677521825016,0.0,0.0,0.0,0.0,2.52327866757962,-9.039702544845523,4.239828757924555,2.215150145064158,-0.2963221892795228,-2.751411617074363,0.0,-0.003294974976979493,0.0,0.0,0.0,0.0,0.0
1757904946.023797,0.0,-12.064699015392373,0.0,0.0,0.0,0.0,1.9026630066381913,-9.631178890178585,4.434973219343276,2.4413084732657224,-0.6908793520600003,-3.3003269937812005,0.0,-0.0024335201252137875,0.0,0.0,0.0,0.0,0.0
1757904946.0830238,0.0,-12.18181541284791,0.0,0.0,0.0,0.0,2.273565791548375,-10.137875064801047,4.309798008251993,2.772549082792233,-0.45204601744580486,-3.292127341503254,0.0,-0.0020439403480468636,0.0,0.0,0.0,0.0,0.0
1757904946.1339848,0.0,-12.329706805635263,0.0,0.0,0.0,0.0,2.2951230694666784,-10.515007234544228,4.365303801806974,2.928636338405466,-0.4632263090036388,-3.4198896590117105,0.0,-0.001814699571091035,0.0,0.0,0.0,0.0,0.0
1757904946.194209,0.0,-12.268835228950742,0.0,0.0,0.0,0.0,2.232238139598272,-10.367323081910872,4.370469511179056,2.8633285032310987,-0.501479357241287,-3.3987494962252627,0.0,-0.0019015121470398705,0.0,0.0,0.0,0.0,0.0
1757904946.2533255,0.0,-12.419494141965057,0.0,0.0,0.0,0.0,2.379668694792689,-9.904758566230779,4.360755721407972,2.645586211329356,-0.41946439974406463,-3.1272073559001954,0.0,-0.002514735575734278,0.0,0.0,0.0,0.0,0.0
1757904946.3129528,0.0,-12.190737672140516,0.0,0.0,0.0,0.0,2.3236149474841703,-9.198215804142047,4.287081428475496,2.3584043242542503,-0.41758678348855305,-2.87327067086054,0.0,-0.0029925218679984697,0.0,0.0,0.0,0.0,0.0
1757904946.3643067,0.0,-12.26927166820703,0.0,0.0,0.0,0.0,2.5027647180948263,-9.160835860306168,4.221584196576277,2.3847380037038253,-0.3014024047945725,-2.76546040156292,0.0,-0.0031084358079008626,0.0,0.0,0.0,0.0,0.0
1757904946.4268594,0.0,-12.3316376264818,0.0,0.0,0.0,0.0,2.3146068968045985,-9.104427768318631,4.355878873591696,2.312636469030229,-0.4446505142198036,-2.844464672985038,0.0,-0.0032272098581631694,0.0,0.0,0.0,0.0,0.0
1757904946.4829226,0.0,-12.523738006735426,0.0,0.0,0.0,0.0,2.3909650556004576,-9.469017534806078,4.402082267372273,2.475105442262214,-0.4244076051919853,-2.948585983567959,0.0,-0.003054720471929349,0.0,0.0,0.0,0.0,0.0
1757904946.5332675,0.0,-12.377202571670615,0.0,0.0,0.0,0.0,2.369008632684466,-9.574421208504003,4.347300433406188,2.561791446374474,-0.41758391922890814,-2.999910351492156,0.0,-0.002802781363166613,0.0,0.0,0.0,0.0,0.0
1757904946.594597,0.0,-12.511793449556073,0.0,0.0,0.0,0.0,2.50365282227378,-9.945428033266078,4.3334649643694165,2.7520838465455695,-0.34516679708978015,-3.0684497099916617,0.0,-0.0025663654162899957,0.0,0.0,0.0,0.0,0.0
1757904946.6529264,0.0,-12.505518458244007,0.0,0.0,0.0,0.0,2.315249490476936,-10.108023300996212,4.4341513846917024,2.7780991179749357,-0.4811378232165237,-3.2366038767230947,0.0,-0.0023974951572477946,0.0,0.0,0.0,0.0,0.0
1757904946.7030687,0.0,-12.50335878161231,0.0,0.0,0.0,0.0,2.323493619944022,-10.204164127957828,4.428861516186174,2.819981541379011,-0.48170941176240967,-3.26552575534906,0.0,-0.0022991946536544817,0.0,0.0,0.0,0.0,0.0
1757904946.7630446,0.0,-12.492789327521287,0.0,0.0,0.0,0.0,2.441416503476376,-10.100242281830653,4.3601205356785675,2.811031147999213,-0.39369570018646455,-3.1585521242008925,0.0,-0.002392547045690634,0.0,0.0,0.0,0.0,0.0
1757904946.8230598,0.0,-12.318461485499421,0.0,0.0,0.0,0.0,2.5080609805370035,-9.323482134631782,4.2413145435189055,2.5091792790485496,-0.30860777967471326,-2.80805140484886,0.0,-0.0029949793508676397,0.0,0.0,0.0,0.0,0.0
1757904946.8743765,0.0,-12.371663999503161,0.0,0.0,0.0,0.0,2.3704952191060844,-9.023486956435569,4.3439663482641775,2.3089217310344106,-0.4190828831359083,-2.7651780099074963,0.0,-0.003348177043067592,0.0,0.0,0.0,0.0,0.0
