time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,men_tas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz,v_object_x
1757902543.292049,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0
1757902543.3423421,0.0,-4.0,0.0,0.0,0.0,0.0,1.156901958388224,-7.459250652535364,0.2779819918906055,2.2876207736941048,0.3933399104117058,-2.452029213584632,0.0,0.0034592506525353644,0.0,0.0,0.0,0.0,0.0
1757902543.392426,0.0,-4.0,0.0,0.0,0.0,0.0,1.1665897861114385,-7.464191612247108,0.2914630278251203,2.287407270583383,0.3956759627293112,-2.450644503337774,0.0,0.0034641916122471078,0.0,0.0,0.0,0.0,0.0
1757902543.451876,0.0,-4.0,0.0,0.0,0.0,0.0,1.114714168058193,-7.472468340916729,0.2901188994017869,2.2883207791077336,0.37151979244879846,-2.4800535774519314,0.0,0.0034724683409167287,0.0,0.0,0.0,0.0,0.0
1757902543.5018995,0.0,-4.0,0.0,0.0,0.0,0.0,1.1831413043639971,-7.49476676312907,0.2733068220033499,2.308373137160114,0.4066632753039385,-2.4489185143236845,0.0,0.0034947667631290706,0.0,0.0,0.0,0.0,0.0
1757902543.562116,0.0,-4.0,0.0,0.0,0.0,0.0,1.142873870683478,-7.506004466240039,0.23696361619700432,2.3294692344824277,0.4027490438834336,-2.4752947031429673,0.0,0.0035060044662400393,0.0,0.0,0.0,0.0,0.0
1757902543.6126463,0.0,-4.0,0.0,0.0,0.0,0.0,0.75157410712526,-6.68050595635615,0.2521414497506869,1.8625418101174658,0.22569243820236407,-2.3828888079472237,0.0,0.00268050595635615,0.0,0.0,0.0,0.0,0.0
1757902543.6723487,0.0,-4.0,0.0,0.0,0.0,0.0,0.008288131705428706,-4.885253262699848,-0.4212598140590619,1.1158273803988064,0.17881287055255038,-2.038957686002199,0.0,0.0008852532626998482,0.0,0.0,0.0,0.0,0.0
1757902543.732003,0.0,-4.0,0.0,0.0,0.0,0.0,-0.2970413726641314,-4.416619767207317,-0.6604145487410095,0.9582121709549555,0.15073580424945193,-1.980320572194244,0.0,0.0004166197672073171,0.0,0.0,0.0,0.0,0.0
1757902543.7918458,0.0,-4.0,0.0,0.0,0.0,0.0,-0.5768163230873845,-3.5305343203770896,-0.7039044831338885,0.5343278482846237,0.0606038979554311,-1.7772119711839562,0.0,-0.00046946567962291043,0.0,0.0,0.0,0.0,0.0
1757902543.8420856,0.0,-4.0,0.0,0.0,0.0,0.0,-0.6053108971904259,-3.821191014367518,-0.7017406049208607,0.7311345730181062,0.04407022902165744,-1.9027433905063562,0.0,-0.00017880898563248194,0.0,0.0,0.0,0.0,0.0
