time,cur_vx,cur_vy,cur_vz,cur_wx,cur_wy,cur_wz,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz
1757930570.0275714,-0.010313642793659527,-0.06352280876470082,0.2048401022939865,2.527108352226814,-3.966944965276192,-0.15676250864177482,0.1649113864497251,0.5177719311954995,-1.7672439699443017,0.1502168430988277,-0.10539014208779211,-0.07049565033169487,-0.35043098627996605,-4.167353999543032,2.582219960526621,3.604854276309038,-3.971290683727275,-0.6194295459674375
1757930570.0820134,0.045906981024909276,0.20307373065547316,-0.8346153618858521,9.000741492192573,-1.4739734512420566,-0.5643875285363892,0.16644271219893048,0.5245458907501734,-1.7950843542563233,0.4546411739955912,-0.14656763134874656,-0.10324651437651698,-0.24422196126256582,-3.298630105633074,1.360534824495984,10.372391443083554,-1.510293056499097,-1.0975478377471153
1757930570.1351883,-0.025917115203291555,-0.064638942277236,0.14374829680884194,5.824845467515354,2.028962382763188,-0.3982050353565749,0.16644271219893048,0.5245458907501734,-1.7950843542563233,0.4546411739955912,-0.14656763134874656,-0.10324651437651698,-0.6043811357395479,-3.3098484307736187,2.1628856623127257,7.114783481328715,1.980233457684144,-0.8525878540612657
1757930570.1877425,-0.04660086624071077,-0.23247656628722127,0.8386973226578327,1.0426982453909277,1.8504972147756373,-0.02501153516939155,0.1648882293105647,0.5167910811641703,-1.767107607432445,0.4861804212814174,-0.09116576217410102,-0.07582329474700264,-0.03540881730398176,-4.157529833982752,2.8191288232455594,2.3836174715113017,1.8504384411261128,-0.5867931923432849
1757930570.2406087,0.012666575682806477,0.09671235949805598,-0.38127418990294,11.621146048071031,-5.4757761087791605,-0.4263412452749493,0.16602867718970024,0.5237391409494018,-1.790876924505222,0.518631455000646,-0.1597124191884283,-0.11746121938375864,-0.7070186833948873,-3.238619060431843,2.11766617918811,13.076684595521327,-5.551972793482989,-0.9006510542480026
1757930570.291282,0.02507876172915089,0.12089809635030707,-0.5074088091176748,9.756754766458704,-4.9488670092130125,-0.3039351354264421,0.16644271219893048,0.5245458907501734,-1.7950843542563233,0.4546411739955912,-0.14656763134874656,-0.10324651437651698,-0.46596958832750024,-2.9933307477215334,1.3890793743489085,11.043875370962235,-4.960415003830913,-0.7865659467420194
1757930570.2914596,0.02507876172915089,0.12089809635030707,-0.5074088091176748,9.756754766458704,-4.9488670092130125,-0.3039351354264421,0.16644271219893048,0.5245458907501734,-1.7950843542563233,0.4546411739955912,-0.14656763134874656,-0.10324651437651698,-0.46596958832750024,-2.9933307477215334,1.3890793743489085,11.043875370962235,-4.960415003830913,-0.7865659467420194
1757930570.3426812,-0.0250789409783949,-0.12089896046363957,0.5074124357977485,-9.756824502394423,4.948902381002086,0.3039373077882135,0.16560615036834136,0.520513046788823,-1.7781585248714091,0.12450739757164121,0.008100669333859962,-0.046563981489941536,-0.5172899262418437,-3.316869317596531,2.9939561036432263,-8.70942078183707,5.029661256247867,-0.09883274219523996
1757930570.3942535,-0.02507876172915089,-0.12089809635030707,0.5074088091176748,-9.756754766458704,4.9488670092130125,0.3039351354264421,0.16560615036834136,0.520513046788823,-1.7781585248714091,0.12450739757164121,0.008100669333859962,-0.046563981489941536,-0.6356335070338348,-3.8377595595236618,2.7359342802260347,-8.73481423731292,5.05908829367882,-0.1353778309242758
1757930570.4453988,0.03296499406847529,0.1623436225638277,-0.5863182750510891,6.89749761147681,-4.61515719477023,-0.2449177707381381,0.16670578412166695,0.5259284436985726,-1.7977167072299,0.3579801861134216,-0.13913850896642202,-0.09123448978518903,0.06554539741196187,-3.4838036762423013,0.8293240436708209,8.012665402025624,-4.632200252078611,-0.787947889296077
