time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,men_tas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz,v_object_x
1757930732.5709705,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,-1.5376389576933227
1757930732.6305928,0.0,-13.290043568682975,0.0,0.0,0.0,0.0,-3.33477806017411,0.041630408831947144,-4.139963354738793,0.5401985736533648,0.16601397487242445,-1.8956335818977954,0.0,-0.13331673977514924,0.0,0.0,0.0,0.0,-0.7425808856991692
1757930732.6806593,0.0,-13.261575905505026,0.0,0.0,0.0,0.0,-3.3136749403228984,0.050129856459086436,-4.142301494274828,0.5403284159952354,0.17772166705492257,-1.8833183673571396,0.0,-0.13311705761964113,0.0,0.0,0.0,0.0,-1.3586106262992224
1757930732.7405858,0.0,-13.295638053019575,0.0,0.0,0.0,0.0,-3.3441118991517382,0.07337654227041633,-4.135305817452453,0.5293379866988793,0.1613121437641471,-1.8929866922286285,0.0,-0.1336901459528999,0.0,0.0,0.0,0.0,-0.9711442501038846
1757930732.7909195,0.0,-13.247143899704104,0.0,0.0,0.0,0.0,-3.2930898209925514,0.11455389059864755,-4.151319172358357,0.5154371191131683,0.18710827152463302,-1.847169238429685,0.0,-0.13361697790302754,0.0,0.0,0.0,0.0,-1.2710638063310675
1757930732.8506482,0.0,-13.30184212544924,0.0,0.0,0.0,0.0,-3.2768398254375013,0.04923569861909237,-4.1919639057710025,0.5678736516674188,0.20852152965957876,-1.8594703828165073,0.0,-0.13351077824068333,0.0,0.0,0.0,0.0,-0.9362724066173918
1757930732.900865,0.0,-11.090691554869538,0.0,0.0,0.0,0.0,-2.665864662496363,0.22838748820009525,-3.545943579316212,0.328319862819269,0.2594221065773498,-1.6023966859123555,0.0,-0.11319079043069634,0.0,0.0,0.0,0.0,-1.2871033762559545
1757930732.9608476,0.0,-13.805613619105848,0.0,0.0,0.0,0.0,0.034339846301719545,-14.52608554762129,-5.5221386761799565,9.663905169445634,2.2688857744667668,-6.139471360401415,0.0,0.007204719285154422,0.0,0.0,0.0,0.0,-0.32567454330178225
1757930733.0206423,0.0,-12.900919111383956,0.0,0.0,0.0,0.0,1.4887110671590449,-18.798845300454477,-4.94096484357799,11.374837825411623,2.6653903133963555,-6.93289505101114,0.0,0.05897926189070521,0.0,0.0,0.0,0.0,-0.8228982877996885
1757930733.071297,0.0,-8.88445920084756,0.0,0.0,0.0,0.0,1.4718037410187406,-19.164032544530805,-3.2346827038470436,9.824990573102491,1.9559066783278731,-6.959169930227203,0.0,0.10279573343683245,0.0,0.0,0.0,0.0,-1.4712009329725986
1757930733.1308374,0.0,-5.896149314420428,0.0,0.0,0.0,0.0,-0.21460350383053098,-15.79536051720158,-2.3486757149964608,6.856590752950632,0.8589704708229224,-6.447052070846176,0.0,0.09899211202781154,0.0,0.0,0.0,0.0,-1.4783804432873673
1757930733.1907337,0.0,-5.097228454749138,0.0,0.0,0.0,0.0,-1.763383353644823,-13.630342452834213,-1.023502425631236,4.89936551139977,-0.3091573363045869,-6.464046609988767,0.0,0.08533113998085075,0.0,0.0,0.0,0.0,-4.211734140666046
1757930733.2505286,0.0,-5.126652692965779,0.0,0.0,0.0,0.0,-1.8058034890324643,-13.104864333681027,-0.9717430794634474,4.562720690245711,-0.3476591519279957,-6.233259991548942,0.0,0.07978211640715248,0.0,0.0,0.0,0.0,-3.5030919918847063
1757930733.3009362,0.0,-5.569161136085723,0.0,0.0,0.0,0.0,-1.866882381197168,-12.59596404460942,-1.215417251945032,4.3971704202655975,-0.2843599084667082,-6.024779231266568,0.0,0.07026802908523698,0.0,0.0,0.0,0.0,-4.0115422525859
1757930733.3608768,0.0,-7.931006668180475,0.0,0.0,0.0,0.0,-3.1334539239086157,-11.021438049889026,-0.495585704048661,3.219761458250922,-1.1334302242038883,-5.98079189884597,0.0,0.030904313817085506,0.0,0.0,0.0,0.0,-4.203179929250815
1757930733.4206328,0.0,-7.501304069624613,0.0,0.0,0.0,0.0,-2.9452979787190725,-10.590057485690856,-0.5730181984440209,3.008916624718836,-1.0117652769006957,-5.681761591619588,0.0,0.030887534160662432,0.0,0.0,0.0,0.0,-4.862017844400531
1757930733.4712586,0.0,-6.09056685594487,0.0,0.0,0.0,0.0,-2.370089941147089,-10.645716409279753,-0.5638035217616673,3.0023922875416518,-0.76756321024877,-5.371179384984722,0.0,0.04555149553334884,0.0,0.0,0.0,0.0,-5.261571955206508
1757930733.5307791,0.0,-8.383787912389959,0.0,0.0,0.0,0.0,-3.322573429487075,-10.644311413099834,-0.4544994689284642,2.961522806057524,-1.2377867905167652,-5.893143568827989,0.0,0.022605235007098747,0.0,0.0,0.0,0.0,-4.808412276107769
1757930733.5907006,0.0,-7.121543516325426,0.0,0.0,0.0,0.0,-2.5098181081327495,-12.267305357325856,-1.3473804929846733,4.219242988836557,-0.5720588149324974,-5.986722445996753,0.0,0.051457618410004305,0.0,0.0,0.0,0.0,-3.7844901478147315
1757930733.650572,0.0,-6.261364545137902,0.0,0.0,0.0,0.0,-2.455804160390558,-10.216260706378371,0.491706905123391,2.172024109580791,-1.2758107081619372,-5.1829139235783686,0.0,0.03954896161240469,0.0,0.0,0.0,0.0,-5.022474827282466
1757930733.7011852,0.0,-7.27163359569405,0.0,0.0,0.0,0.0,-2.817344530241518,-9.18278216983908,0.7230730405169461,1.538745883791956,-1.5186677852107,-5.005479802098466,0.0,0.01911148574145029,0.0,0.0,0.0,0.0,-6.330030090005981
1757930733.7607124,0.0,-6.0877355716591035,0.0,0.0,0.0,0.0,-2.387314266050182,-9.050241059894082,0.4800151014127128,1.6158950069279268,-1.2416945729429603,-4.692567234679702,0.0,0.02962505488234979,0.0,0.0,0.0,0.0,-5.886784330419839
1757930733.810765,0.0,-7.592497511425653,0.0,0.0,0.0,0.0,-2.249304564470025,-8.478418348104277,2.0405861731412056,0.5252367983229906,-1.77477722997868,-4.458392806805897,0.0,0.008859208366786246,0.0,0.0,0.0,0.0,-4.635635717589371
1757930733.870791,0.0,-8.90916291674529,0.0,0.0,0.0,0.0,-3.118893572892195,-9.142988817068035,1.7240105281897993,0.9465415374949147,-2.0659955533610987,-5.178723940687171,0.0,0.0023382590032274566,0.0,0.0,0.0,0.0,-7.225972904680425
1757930733.9308317,0.0,-8.859139953482234,0.0,0.0,0.0,0.0,-3.1739275543909606,-10.689199438137507,1.575970048554049,1.7797115821065292,-2.0460522055413066,-5.750588140678713,0.0,0.018300594846552727,0.0,0.0,0.0,0.0,-5.878490244993507
1757930733.9909697,0.0,-10.778788793716826,0.0,0.0,0.0,0.0,-3.5958549553311503,-10.958232938436897,2.3788638459880977,1.3823780810419746,-2.5578077918358932,-6.093563560211836,0.0,0.0017944414472007076,0.0,0.0,0.0,0.0,-6.620175985206064
1757930734.0505862,0.0,-8.30829206850557,0.0,0.0,0.0,0.0,-2.950773490567283,-12.238992990091123,1.52884614747861,2.4304514289697017,-1.9543833297679296,-6.172028532387592,0.0,0.039307009215855525,0.0,0.0,0.0,0.0,-7.892835710374281
1757930734.1009266,0.0,-14.461420855646463,0.0,0.0,0.0,0.0,-3.8047824971719786,-7.8738468167782845,4.35716204145244,-1.1977713018331562,-3.4276383528570813,-5.071417337590076,0.0,-0.06587574038868178,0.0,0.0,0.0,0.0,-8.356447311090626
