time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz
1757931007.0535927,-4.1876305949785015,0.0,0.0,0.0,0.0,0.0,-4.41,0.13000000000000078,-1.67,0.22,0.764,-0.056,0.0022236940502149863,0.0,0.0,0.0,0.0,0.0
1757931007.103784,-4.0,0.0,0.0,0.0,0.0,0.0,-5.489999999999998,0.7699999999999996,0.18999999999999995,0.243,0.754,-0.027999999999999997,0.014899999999999984,0.0,0.0,0.0,0.0,0.0
1757931007.1636407,-4.0,0.0,0.0,0.0,0.0,0.0,-5.849999999999998,0.13000000000000078,-0.2699999999999999,0.241,0.724,-0.051000000000000004,0.01849999999999998,0.0,0.0,0.0,0.0,0.0
1757931007.2240999,-4.0,0.0,0.0,0.0,0.0,0.0,-4.949999999999999,0.3100000000000005,-0.75,0.217,0.763,-0.043000000000000003,0.009499999999999993,0.0,0.0,0.0,0.0,0.0
1757931007.2743576,-4.0,0.0,0.0,0.0,0.0,0.0,-5.469999999999999,0.030000000000001137,-0.97,0.241,0.763,-0.05,0.014699999999999989,0.0,0.0,0.0,0.0,0.0
1757931007.3336573,-4.0,0.0,0.0,0.0,0.0,0.0,-4.449999999999999,0.7900000000000009,-0.37,0.23,0.746,-0.058,0.004499999999999993,0.0,0.0,0.0,0.0,0.0
1757931007.3935995,-4.333733955839929,0.0,0.0,0.0,0.0,0.0,-2.7300000000000004,0.11000000000000121,-1.73,0.219,0.777,-0.052,-0.016037339558399283,0.0,0.0,0.0,0.0,0.0
1757931007.4436207,-4.0,0.0,0.0,0.0,0.0,0.0,-3.59,-0.02999999999999936,-1.27,0.244,0.768,-0.057,-0.004100000000000001,0.0,0.0,0.0,0.0,0.0
1757931007.493678,-4.148041706637001,0.0,0.0,0.0,0.0,0.0,-4.869999999999997,0.3100000000000005,-1.63,0.213,0.784,-0.056,0.007219582933629969,0.0,0.0,0.0,0.0,0.0
1757931007.5537746,-4.0,0.0,0.0,0.0,0.0,0.0,-6.209999999999997,-0.4499999999999993,-0.22999999999999998,0.223,0.743,-0.044,0.022099999999999974,0.0,0.0,0.0,0.0,0.0
