time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz
1757903548.7109125,-4.0,0.0,0.0,0.0,0.0,0.0,-2.5700000000000003,0.5899999999999999,-0.1299999999999999,0.213,0.785,-0.033,-0.007149999999999998,0.0,0.0,0.0,0.0,0.0
1757903548.7708604,-4.0,0.0,0.0,0.0,0.0,0.0,-1.9100000000000001,0.6699999999999999,-0.1299999999999999,0.207,0.798,-0.032,-0.01045,0.0,0.0,0.0,0.0,0.0
1757903548.8308222,-4.0,0.0,0.0,0.0,0.0,0.0,-2.0500000000000007,0.6900000000000013,-0.6299999999999999,0.23600000000000002,0.785,-0.041,-0.009749999999999997,0.0,0.0,0.0,0.0,0.0
1757903548.880969,-4.0,0.0,0.0,0.0,0.0,0.0,-2.7099999999999973,-0.049999999999998934,-0.75,0.188,0.8069999999999999,-0.043000000000000003,-0.006450000000000014,0.0,0.0,0.0,0.0,0.0
1757903548.9411802,-4.0,0.0,0.0,0.0,0.0,0.0,-1.9699999999999989,0.11000000000000121,-0.59,0.213,0.8089999999999999,-0.045,-0.010150000000000006,0.0,0.0,0.0,0.0,0.0
1757903549.000904,-4.0,0.0,0.0,0.0,0.0,0.0,-3.009999999999998,-0.3099999999999987,0.13000000000000012,0.203,0.81,-0.036,-0.00495000000000001,0.0,0.0,0.0,0.0,0.0
1757903549.060815,-4.0,0.0,0.0,0.0,0.0,0.0,-4.029999999999998,-0.07000000000000028,0.18999999999999995,0.213,0.787,-0.024999999999999994,0.00014999999999998793,0.0,0.0,0.0,0.0,0.0
1757903549.110841,-4.0,0.0,0.0,0.0,0.0,0.0,-4.029999999999998,0.08999999999999986,0.07000000000000006,0.206,0.793,-0.033,0.00014999999999998793,0.0,0.0,0.0,0.0,0.0
1757903549.1609607,-4.0,0.0,0.0,0.0,0.0,0.0,-4.09,-0.5499999999999989,0.1100000000000001,0.217,0.8049999999999999,-0.041,0.0004499999999999993,0.0,0.0,0.0,0.0,0.0
1757903549.2112992,-4.0,0.0,0.0,0.0,0.0,0.0,-3.91,-0.049999999999998934,0.18999999999999995,0.212,0.779,-0.026999999999999996,-0.0004499999999999993,0.0,0.0,0.0,0.0,0.0
