time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,men_tas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz,v_object_x
1757905664.2373598,0.0,-4.263390987965787,0.0,0.0,0.0,0.0,1.2730804371818292,-8.09498982343754,1.1346834955474523,1.7779704670580536,0.03853279369856162,-2.426818196361386,0.0,0.0038315988354717537,2.9427342406174106,0.0,0.0,0.0,-3.618036922793096
1757905664.296819,0.0,-4.232243635453128,0.0,0.0,0.0,0.0,1.2746729961656866,-8.095230070401977,1.1140514095944378,1.7867553597483505,0.046144704187813135,-2.4238773973618772,0.0,0.0038629864349488487,2.895739500017778,0.0,0.0,0.0,-3.5195140242019245
1757905664.3470132,0.0,-4.285445009142333,0.0,0.0,0.0,0.0,1.283997173759865,-8.137299761435267,1.1356749033054967,1.7959633896718876,0.04280845128326405,-2.4338962434960747,0.0,0.003851854752292934,2.7388114448333902,0.0,0.0,0.0,-3.6688647517321504
1757905664.4078448,0.0,-4.271613979403297,0.0,0.0,0.0,0.0,1.2932349997474732,-8.114879335063254,1.1166973599295107,1.7983785707173734,0.05247199111851384,-2.4195708184509814,0.0,0.0038432653556599574,2.8769661829666813,0.0,0.0,0.0,-3.9758823728641763
1757905664.4668663,0.0,-7.202415510969039,0.0,0.0,0.0,0.0,2.869438494681326,-9.9172549371829,-0.2574664950329483,3.4625471161759718,1.2897505094074697,-2.2871795613251424,0.0,0.0027148394262138612,3.165441303390611,0.0,0.0,0.0,-1.6217185179017173
1757905664.5171592,0.0,-12.115491406763143,0.0,0.0,0.0,0.0,-0.5553240935209457,-5.688777674155751,4.81427422105673,-0.6497139488648764,-2.153890173862068,-2.8966597156771448,0.0,-0.006426713732607392,2.3117458507851807,0.0,0.0,0.0,-7.493459233991397
1757905664.5770738,0.0,-9.760742794038197,0.0,0.0,0.0,0.0,0.9559409982753211,-7.909535790759028,3.785460710459872,1.3864117423667432,-0.9972912347511518,-3.1298051614239824,0.0,-0.0018512070032791694,2.6760291078069187,0.0,0.0,0.0,-6.136259892662968
1757905664.6368735,0.0,-11.401508424119362,0.0,0.0,0.0,0.0,0.591010151241937,-7.792019260637709,4.5221466248200475,1.0110643563386819,-1.4216629181926415,-3.336232518086443,0.0,-0.0036094891634816523,2.91427609741966,0.0,0.0,0.0,-7.145727879427311
1757905664.6874137,0.0,-11.03327191363895,0.0,0.0,0.0,0.0,1.201998280593969,-8.080641022403128,4.246468461285942,1.3282722916402792,-1.031338899646073,-3.111933161477742,0.0,-0.002952630891235822,2.8847620757202965,0.0,0.0,0.0,-6.8399830878773225
1757905664.7470384,0.0,-10.714231648061558,0.0,0.0,0.0,0.0,1.5277876695004373,-8.611634414244465,4.0041261726192205,1.7561912767189751,-0.7613771061376212,-3.1555849281264754,0.0,-0.002102597233817093,2.8211439174437034,0.0,0.0,0.0,-6.733992455504792
1757905664.806875,0.0,-12.193610201323999,0.0,0.0,0.0,0.0,0.9934080856570744,-8.367877321442716,4.775206920547462,1.2558267669057517,-1.3247399065611325,-3.32221901005663,0.0,-0.003825732879881283,2.8744310096939985,0.0,0.0,0.0,-7.333517474099855
1757905664.857072,0.0,-11.938594684330003,0.0,0.0,0.0,0.0,0.8815437858115237,-7.95199844562384,4.6933663227550335,1.1568576665266863,-1.330447803109043,-3.2003778792308566,0.0,-0.003986596238706163,2.764210535352661,0.0,0.0,0.0,-7.178841938362602
1757905664.9170265,0.0,-11.834344200973971,0.0,0.0,0.0,0.0,0.9509318268406606,-7.832805245460422,4.637240676031565,1.1573591197569704,-1.2658804561387238,-3.1184204731697984,0.0,-0.004001538955513549,2.6728586386786755,0.0,0.0,0.0,-5.785383785913977
1757905664.9769688,0.0,-11.781195548836108,0.0,0.0,0.0,0.0,0.7451170840389015,-7.3823200861596625,4.653197986402457,0.9761397033382457,-1.3718136277917297,-3.0006892632100444,0.0,-0.004398875462676445,2.850147627082624,0.0,0.0,0.0,-7.669775724722642
1757905665.0269783,0.0,-13.56650084773472,0.0,0.0,0.0,0.0,-0.19149984345056006,-4.5326559789391885,5.423220357888135,-0.8005129817544676,-2.102707188945147,-2.509689162673372,0.0,-0.00903384486879553,0.0,0.0,0.0,0.0,0.0
1757905665.0769813,0.0,-11.49186206311247,0.0,0.0,0.0,0.0,2.5907730267670543,-9.481920832164601,3.7970986439902843,2.5836309647929374,-0.07428964404732036,-2.79901574512044,0.0,-0.0020099412309478684,0.0,0.0,0.0,0.0,0.0
1757905665.1271145,0.0,-13.061246683645003,0.0,0.0,0.0,0.0,0.28186895139988344,-8.788311342926377,5.216889521851229,1.4065899629194838,-1.7894354309599618,-3.837250934019866,0.0,-0.0042729353407186255,0.0,0.0,0.0,0.0,0.0
1757905665.177517,0.0,-11.547921987008625,0.0,0.0,0.0,0.0,1.1694230446833302,-11.960984358559644,4.468687737742426,3.344864305481393,-1.0368435116010268,-4.594227359650133,0.0,0.00041306237155101935,0.0,0.0,0.0,0.0,0.0
1757905665.2275827,0.0,-12.577645085360517,0.0,0.0,0.0,0.0,2.9982533019392457,-12.888977682663274,4.040052237327803,3.989683795358546,0.0647050606687456,-4.031995152857164,0.0,0.0003113325973027568,0.0,0.0,0.0,0.0,0.0
1757905665.2879763,0.0,-10.743898840431228,0.0,0.0,0.0,0.0,1.604198439283942,-11.900852810949447,3.986924295035722,3.4562611763323225,-0.6270603507367625,-4.3654324751591265,0.0,0.0011569539705182184,0.0,0.0,0.0,0.0,0.0
1757905665.3472261,0.0,-9.54248486033046,0.0,0.0,0.0,0.0,1.2473511598225215,-9.125837375677968,3.607430921532826,2.1809061418737397,-0.6751761162735286,-3.5071236680731706,0.0,-0.00041664748465249167,0.0,0.0,0.0,0.0,0.0
1757905665.4069276,0.0,-9.448216763833324,0.0,0.0,0.0,0.0,1.6542769495121925,-9.395366760707072,3.397995847103643,2.353598823269201,-0.416810795404075,-3.338777531727158,0.0,-5.2850003126252435e-05,0.0,0.0,0.0,0.0,0.0
1757905665.466851,0.0,-9.34005781415631,0.0,0.0,0.0,0.0,1.6797571657517765,-7.7540627364862384,3.337107229261705,1.5450744625648807,-0.37959511979736815,-2.717572578780653,0.0,-0.0015859950776700717,0.0,0.0,0.0,0.0,0.0
1757905665.518281,0.0,-9.81810657053486,0.0,0.0,0.0,0.0,1.569175874195624,-7.553489963251264,3.6001280167104013,1.4150313320039238,-0.5224629729332316,-2.673623992153539,0.0,-0.002264616607283596,0.0,0.0,0.0,0.0,0.0
1757905665.5770774,0.0,-10.739431222589374,0.0,0.0,0.0,0.0,1.7920278342989024,-8.09084774692499,3.9041385117147662,1.7282800340697781,-0.4876866665813391,-2.7430886908161676,0.0,-0.0026485834756643845,0.0,0.0,0.0,0.0,0.0
1757905665.637078,0.0,-11.566082973622493,0.0,0.0,0.0,0.0,2.124369483075274,-8.194633031548225,4.109858678326265,1.7316815690886436,-0.3911833520833444,-2.6140876662596098,0.0,-0.003371449942074268,0.0,0.0,0.0,0.0,0.0
