time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz
1757904944.8826756,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,15.189885925890321,0.0,0.0,0.0
1757904944.9329476,-4.0,0.0,0.0,0.0,0.0,0.0,-5.949999999999999,-0.4299999999999997,-0.1499999999999999,0.186,0.784,-0.063,0.009749999999999997,0.0,7.790535317867718,0.0,0.0,0.0
1757904944.9926581,-4.0,0.0,0.0,0.0,0.0,0.0,-6.469999999999999,-0.23000000000000043,-0.32999999999999996,0.198,0.8089999999999999,-0.037,0.012349999999999995,0.0,52.754897182645145,0.0,0.0,0.0
1757904945.0427182,-4.0,0.0,0.0,0.0,0.0,0.0,-5.489999999999998,0.21000000000000085,0.53,0.206,0.781,-0.041,0.007449999999999992,0.0,9.147332197740417,0.0,0.0,0.0
1757904945.1027713,-4.0,0.0,0.0,0.0,0.0,0.0,-6.169999999999998,0.5899999999999999,0.8300000000000001,0.155,0.8049999999999999,-0.048,0.010849999999999992,0.0,10.839381280505489,0.0,0.0,0.0
1757904945.1528838,-14.205148714462652,0.0,0.0,0.0,0.0,0.0,-5.329999999999998,-0.3699999999999992,-5.67,0.228,0.688,-0.017,-0.04437574357231327,0.0,7.783078623919138,0.0,0.0,0.0
1757904945.2126899,-7.932921908099184,0.0,0.0,0.0,0.0,0.0,-5.609999999999999,0.6300000000000008,-3.11,0.189,0.7110000000000001,-0.023999999999999994,-0.011614609540495922,0.0,21.435325883603863,0.0,0.0,0.0
1757904945.2729733,-7.764422064777261,0.0,0.0,0.0,0.0,0.0,-6.609999999999999,-0.46999999999999886,-3.07,0.232,0.749,-0.019000000000000003,-0.005772110323886306,0.0,22.724223812182583,0.0,0.0,0.0
1757904945.3327043,-8.674459637349175,0.0,0.0,0.0,0.0,0.0,-6.369999999999997,-0.3699999999999992,-3.4499999999999997,0.216,0.785,-0.053,-0.011522298186745888,0.0,5.097226396030311,0.0,0.0,0.0
1757904945.3928661,-4.985604276313955,0.0,0.0,0.0,0.0,0.0,-6.149999999999999,-0.129999999999999,-1.99,0.247,0.783,-0.041,0.005821978618430217,0.0,15.420259198341132,0.0,0.0,0.0
1757904945.453071,-4.6028523765161085,0.0,0.0,0.0,0.0,0.0,-6.949999999999999,-0.629999999999999,-1.73,0.241,0.81,-0.033,0.011735738117419455,0.0,-20.378370127836806,0.0,0.0,0.0
1757904945.5126631,-4.0,0.0,0.0,0.0,0.0,0.0,-6.73,0.23000000000000043,-1.23,0.25,0.81,-0.041,0.013650000000000002,0.0,38.22792858859966,0.0,0.0,0.0
1757904945.5627599,-4.0,0.0,0.0,0.0,0.0,0.0,-5.109999999999999,0.41000000000000014,-1.27,0.304,0.8160000000000001,-0.044,0.005549999999999998,0.0,11.205152596010944,0.0,0.0,0.0
1757904945.6226614,-4.926586039033521,0.0,0.0,0.0,0.0,0.0,-5.23,-0.049999999999998934,-1.97,0.267,0.8300000000000001,-0.056,0.0015170698048323982,0.0,10.413150546333341,0.0,0.0,0.0
1757904945.6727562,-6.8761362697375334,0.0,0.0,0.0,0.0,0.0,-4.689999999999998,1.2100000000000009,-2.4699999999999998,0.29100000000000004,0.8029999999999999,-0.07200000000000001,-0.010930681348687679,0.0,0.0,0.0,0.0,0.0
1757904945.732718,-4.0,0.0,0.0,0.0,0.0,0.0,-3.5700000000000003,-0.9699999999999989,0.51,0.272,0.8340000000000001,-0.067,-0.0021499999999999987,0.0,0.0,0.0,0.0,0.0
1757904945.7927425,-5.484637636161573,0.0,0.0,0.0,0.0,0.0,-6.309999999999999,1.2100000000000009,-1.83,0.247,0.806,-0.04,0.004126811819192127,0.0,0.0,0.0,0.0,0.0
1757904945.8526783,-6.197277628120268,0.0,0.0,0.0,0.0,0.0,-5.369999999999997,-0.4900000000000002,-2.4299999999999997,0.271,0.831,-0.056,-0.004136388140601355,0.0,0.0,0.0,0.0,0.0
1757904945.9035883,-4.487343312027729,0.0,0.0,0.0,0.0,0.0,-4.93,-0.8699999999999992,-1.5699999999999998,0.304,0.825,-0.067,0.0022132834398613534,0.0,0.0,0.0,0.0,0.0
1757904945.962866,-4.504025976834503,0.0,0.0,0.0,0.0,0.0,-5.709999999999997,-1.17,-1.3699999999999999,0.272,0.8360000000000001,-0.045,0.006029870115827474,0.0,0.0,0.0,0.0,0.0
1757904946.0232835,-5.214522988730607,0.0,0.0,0.0,0.0,0.0,-6.73,-1.5899999999999999,-1.3499999999999999,0.259,0.81,-0.032,0.007577385056346966,0.0,0.0,0.0,0.0,0.0
1757904946.0826802,-4.0,0.0,0.0,0.0,0.0,0.0,-6.93,0.05000000000000071,-1.53,0.29100000000000004,0.831,-0.056,0.014649999999999998,0.0,0.0,0.0,0.0,0.0
1757904946.1334157,-5.126524163602469,0.0,0.0,0.0,0.0,0.0,-6.709999999999997,-1.67,-1.19,0.281,0.8500000000000001,-0.055,0.00791737918198764,0.0,0.0,0.0,0.0,0.0
1757904946.1930864,-4.0,0.0,0.0,0.0,0.0,0.0,-6.309999999999999,-0.8300000000000001,-0.99,0.28700000000000003,0.796,-0.042,0.011549999999999994,0.0,0.0,0.0,0.0,0.0
1757904946.252774,-5.402892743706836,0.0,0.0,0.0,0.0,0.0,-5.43,-0.5499999999999989,-2.09,0.264,0.873,-0.067,0.00013553628146581787,0.0,0.0,0.0,0.0,0.0
1757904946.3028083,-4.0,0.0,0.0,0.0,0.0,0.0,-5.029999999999998,-0.9499999999999993,-1.15,0.249,0.808,-0.056,0.005149999999999988,0.0,0.0,0.0,0.0,0.0
1757904946.353084,-5.715002187226178,0.0,0.0,0.0,0.0,0.0,-5.07,-0.8300000000000001,-2.13,0.27,0.857,-0.065,-0.0032250109361308876,0.0,0.0,0.0,0.0,0.0
1757904946.404877,-4.0,0.0,0.0,0.0,0.0,0.0,-5.829999999999998,-0.20999999999999908,-1.19,0.301,0.8089999999999999,-0.057,0.009149999999999991,0.0,0.0,0.0,0.0,0.0
1757904946.4629416,-4.0,0.0,0.0,0.0,0.0,0.0,-5.489999999999998,0.25,-1.19,0.265,0.8089999999999999,-0.061,0.007449999999999992,0.0,0.0,0.0,0.0,0.0
1757904946.523802,-4.536656257641744,0.0,0.0,0.0,0.0,0.0,-5.349999999999998,-0.129999999999999,-1.81,0.257,0.853,-0.053,0.004066718711791269,0.0,0.0,0.0,0.0,0.0
1757904946.5827446,-4.517327749898162,0.0,0.0,0.0,0.0,0.0,-6.029999999999998,-0.4499999999999993,-1.75,0.26,0.827,-0.044,0.007563361250509178,0.0,0.0,0.0,0.0,0.0
1757904946.6328783,-4.939256016851121,0.0,0.0,0.0,0.0,0.0,-7.029999999999998,0.15000000000000036,-1.97,0.29700000000000004,0.819,-0.073,0.010453719915744383,0.0,0.0,0.0,0.0,0.0
1757904946.692784,-4.0,0.0,0.0,0.0,0.0,0.0,-7.149999999999999,0.2699999999999996,-1.3699999999999999,0.29100000000000004,0.825,-0.05,0.015749999999999993,0.0,0.0,0.0,0.0,0.0
1757904946.7526817,-6.7875805704241925,0.0,0.0,0.0,0.0,0.0,-5.009999999999998,-1.17,-2.45,0.252,0.8680000000000001,-0.031,-0.008887902852120972,0.0,0.0,0.0,0.0,0.0
