time,lambda_left_fx,lambda_left_fy,lambda_left_fz,lambda_right_fx,lambda_right_fy,lambda_right_fz
7.152557373046875e-07,1.5323305386440622,-5.0,5.0,-1.5323305386440622,5.0,-5.0
0.024172067642211914,1.532455795946471,-5.0,5.0,-1.5324557959464709,5.0,-5.0
0.056372642517089844,1.36983223783215,-1.3698322378321501,5.0,-1.36983223783215,1.3698322378321501,-5.0
0.09151983261108398,5.0,5.0,-0.8034291796923412,-5.0,-5.0,0.8034291796923412
0.12271308898925781,-2.8956847317711003,-2.8956847317711003,5.0,2.8956847317711003,2.8956847317711003,-5.0
0.15556979179382324,5.0,-5.0,1.929706295373588,-5.0,5.0,-1.9297062953735884
0.19082403182983398,-1.2616394865106426,1.2616394865106426,5.0,1.2616394865106426,-1.2616394865106426,-5.0
0.22861146926879883,1.2791898027545294,-0.4658417258178738,5.0,-1.2791898027545294,0.4658417258178738,-5.0
0.261476993560791,-2.0484235141684146,-5.0,5.0,2.048423514168414,5.0,-5.0
0.3006734848022461,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.33966708183288574,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38077211380004883,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.4174025058746338,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.44730544090270996,5.0,1.166299026673794,5.0,-5.0,-1.1662990266737943,-5.0
0.4786562919616699,-5.0,5.0,-0.6196685927416262,5.0,-5.0,0.6196685927416262
0.5112941265106201,0.811581443249354,5.0,5.0,-0.8115814432493542,-5.0,-5.0
0.5501079559326172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.5897336006164551,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.6239538192749023,4.809061832713967,5.0,-5.0,-4.809061832714001,-5.0,5.0
0.6546118259429932,-3.9148781923765785,-5.0,5.0,3.9148781923765785,5.0,-5.0
0.6921510696411133,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7216970920562744,-5.0,5.0,-5.0,5.0,-5.0,5.0
0.7535903453826904,-4.971571162939436,-5.0,5.0,4.9715711629394335,5.0,-5.0
0.7859694957733154,1.922293454757615,5.0,-5.0,-1.9222934547576151,-5.0,5.0
0.8165590763092041,4.999999999999999,5.0,-3.816534644517309,-4.999999999999999,-5.0,3.816534644517309
0.8477907180786133,-5.0,-5.0,0.7709294473860653,5.0,5.0,-0.7709294473860654
0.8755848407745361,-5.0,5.0,-5.0,5.0,-5.0,5.0
0.908552885055542,-5.0,5.0,1.2235101985080998,5.0,-5.0,-1.2235101985080998
0.9371280670166016,-5.0,-5.0,1.2817138579833065,5.0,5.0,-1.2817138579833067
0.9723541736602783,-5.0,5.0,2.6612347975582162,5.0,-5.0,-2.6612347975582162
1.003791332244873,-5.0,5.0,5.0,5.0,-5.0,-5.0
1.0348401069641113,0.47478850093998376,0.4747885009399831,-5.0,-0.47478850093998376,-0.4747885009399831,5.0
1.065833330154419,-5.0,-5.0,1.9557768395073882,5.0,5.0,-1.9557768395073885
1.0945184230804443,-2.6112809596981394,5.0,5.0,2.61128095969814,-5.0,-5.0
1.1277594566345215,-5.0,5.0,4.902536566667573,5.0,-5.0,-4.902536566667573
1.160435438156128,5.0,-5.0,-4.392248326904336,-5.0,5.0,4.392248326904336
1.1953134536743164,2.0230571096490566,2.023057109649057,-5.0,-2.0230571096490566,-2.023057109649057,5.0
1.2279980182647705,-5.0,5.0,-5.0,5.0,-5.0,5.0
1.2610273361206055,-5.0,-4.726380485490896,-5.0,5.0,4.726380485490895,5.0
1.2941787242889404,-0.4540346858526429,-0.45403468585264295,-5.0,0.4540346858526429,0.45403468585264295,5.0
1.328864336013794,0.7433291486975268,0.7433291486975264,5.0,-0.7433291486975268,-0.7433291486975268,-5.0
1.3633098602294922,-5.0,-5.0,0.6101757035346045,5.0,5.0,-0.6101757035346045
1.3948755264282227,-4.948023427169023,4.948023427169023,5.0,4.948023427169023,-4.948023427169023,-5.0
1.4248390197753906,-1.4076630997607327,1.4076630997607325,5.0,1.4076630997607327,-1.4076630997607325,-5.0
1.4567289352416992,-4.872157903946157,-4.872157903946157,5.0,4.872157903946157,4.872157903946157,-5.0
1.4884791374206543,-1.3304182236060056,-5.0,-5.0,1.3304182236060054,5.0,5.0
1.521148920059204,-2.4111471352208924,5.0,-5.0,2.4111471352208915,-5.0,5.0
1.554189920425415,0.38117350433395586,-5.0,5.0,-0.38117350433395586,5.0,-5.0
1.5867841243743896,-5.0,-5.0,2.1400144518744724,5.0,5.0,-2.1400144518744724
1.6148490905761719,5.0,5.0,1.0087805057188752,-5.0,-5.0,-1.0087805057188755
1.6446914672851562,-5.0,-5.0,-2.0870204532551537,5.0,5.0,2.087020453255154
1.6744866371154785,5.0,-5.0,-1.3568625945740598,-5.0,5.0,1.3568625945740598
1.708855152130127,-5.0,5.0,-0.2731148139155356,5.0,-5.0,0.2731148139155356
1.740067958831787,-0.7036603588192606,-5.0,5.0,0.7036603588192606,5.0,-5.0
1.7719848155975342,-5.0,-5.0,1.5017907877420011,5.0,5.0,-1.5017907877420016
1.814988374710083,5.0,5.0,-0.2334656057012824,-5.0,-5.0,0.2334656057012825
1.862919807434082,-2.1810842434072675,-2.1810842434072666,-5.0,2.1810842434072675,2.1810842434072666,5.0
1.9093592166900635,5.0,-5.0,-2.6585549956208325,-5.0,5.0,2.658554995620833
1.958986759185791,-2.2479682946692523,-5.0,-5.0,2.2479682946692527,5.0,5.0
2.005838632583618,-5.0,5.0,-4.521506013526143,5.0,-5.0,4.521506013526143
2.0436294078826904,-5.0,-5.0,1.2348358761590572,5.0,5.0,-1.234835876159057
2.0799031257629395,5.0,-5.0,-1.79311899404212,-5.0,5.0,1.7931189940421204
2.115278959274292,-5.0,5.0,1.0244842191357022,5.0,-5.0,-1.0244842191357026
2.162680149078369,-5.0,-5.0,-3.476607930029535,5.0,5.0,3.4766079300295347
2.202183961868286,-5.0,-5.0,1.9618380354786975,5.0,5.0,-1.9618380354786977
2.2380306720733643,-5.0,5.0,-0.03689707601620741,5.0,-5.0,0.0368970760162074
2.2866876125335693,2.202064393572256,-2.2020643935722557,5.0,-2.202064393572256,2.2020643935722557,-5.0
2.3274283409118652,-5.0,-5.0,-0.21418057813437752,5.0,5.0,0.21418057813437752
2.3580236434936523,-5.0,5.0,5.0,5.0,-5.0,-5.0
2.3983376026153564,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.4285192489624023,-4.85070452652722,-5.0,5.0,4.85070452652722,5.0,-5.0
2.460545539855957,-1.896636779077362,5.0,5.0,1.8966367790773624,-5.0,-5.0
2.4904494285583496,-5.0,5.0,0.7005429046164796,5.0,-5.0,-0.7005429046164796
2.5205087661743164,5.0,-5.0,-2.6581954038659936,-5.0,5.0,2.658195403865993
2.5496623516082764,1.013485456585367,5.0,5.0,-1.0134854565853673,-5.0,-5.0
2.5798306465148926,5.0,5.0,-1.0473658505765284,-5.0,-5.0,1.0473658505765282
2.60799241065979,-5.0,-5.0,0.6497231618148971,5.0,5.0,-0.649723161814897
2.637293577194214,2.192235318190483,2.192235318190482,-5.0,-2.192235318190483,-2.192235318190482,5.0
2.667266368865967,-5.0,5.0,-5.0,5.0,-5.0,5.0
2.7042362689971924,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.733241558074951,-5.0,-5.0,0.8263393798906543,5.0,5.0,-0.8263393798906545
2.7638773918151855,5.0,-5.0,-4.0271752245463714,-5.0,5.0,4.027175224546371
2.792124032974243,5.0,5.0,-1.7175711669687925,-5.0,-5.0,1.7175711669687928
2.823237419128418,-3.0681575045841827,-5.0,-5.0,3.0681575045841822,5.0,5.0
2.8551199436187744,-5.0,-5.0,1.4986323131980739,5.0,5.0,-1.498632313198074
2.8843579292297363,-5.0,5.0,-0.8913458842398436,5.0,-5.0,0.8913458842398434
2.913755416870117,-5.0,-5.0,-4.761681964210909,5.0,5.0,4.76168196421091
2.9373505115509033,5.0,-5.0,-1.4829452011325177,-5.0,5.0,1.482945201132517
2.9653422832489014,5.0,5.0,0.27194380125070355,-5.0,-5.0,-0.2719438012507036
2.99493670463562,-1.6426719655023896,-5.0,5.0,1.6426719655023898,5.0,-5.0
3.0230748653411865,-5.0,-5.0,-0.08741483168750816,5.0,5.0,0.08741483168750816
3.0567662715911865,-2.6691155569445852,5.0,-5.0,2.669115556944585,-5.0,5.0
3.089127540588379,0.6953100587250025,-5.0,5.0,-0.6953100587250025,5.0,-5.0
3.118523359298706,5.0,-5.0,2.857483925942862,-5.0,5.0,-2.8574839259428626
3.1476643085479736,5.0,5.0,0.8000183421657269,-5.0,-5.0,-0.8000183421657266
3.173213481903076,-4.999999999999999,-5.0,-1.3599271402483328,4.999999999999999,5.0,1.3599271402483328
3.2037627696990967,-5.0,-5.0,1.7403377638363178,5.0,5.0,-1.740337763836318
3.2343759536743164,-5.0,5.0,-0.2608018400129079,5.0,-5.0,0.26080184001290796
3.2667057514190674,2.587209376950775,-5.0,5.0,-2.587209376950777,5.0,-5.0
3.294973850250244,5.0,-5.0,-1.135039299144479,-5.0,5.0,1.135039299144479
3.321232795715332,5.0,5.0,-0.2691011589343774,-5.0,-5.0,0.2691011589343775
3.352356195449829,-3.829355266143585,-5.0,-5.0,3.829355266143585,5.0,5.0
3.384859800338745,-5.0,-5.0,1.1489056560953417,5.0,5.0,-1.1489056560953415
3.417956829071045,-5.0,5.0,-0.2814627472217567,5.0,-5.0,0.28146274722175674
3.4482836723327637,2.101876075467327,-5.0,5.0,-2.101876075467327,5.0,-5.0
3.4792137145996094,5.0,-5.0,-1.124346646929151,-5.0,5.0,1.1243466469291508
3.5080294609069824,5.0,5.0,-0.27438052386742395,-5.0,-5.0,0.2743805238674241
3.537245750427246,-4.247132187034251,-5.0,-5.0,4.247132187034251,5.0,5.0
3.5642099380493164,-5.0,-5.0,1.1415586114020704,5.0,5.0,-1.1415586114020702
3.596975564956665,-5.0,5.0,-0.285145880029816,5.0,-5.0,0.285145880029816
3.6259140968322754,2.069225157662658,-5.0,5.0,-2.069225157662659,5.0,-5.0
3.653594732284546,5.0,-5.0,-1.1316076947192593,-5.0,5.0,1.1316076947192593
3.684291362762451,5.0,5.0,-0.2722199573268932,-5.0,-5.0,0.2722199573268933
3.7139484882354736,-4.24128743626933,-5.0,-5.0,4.24128743626933,5.0,5.0
3.7429356575012207,-5.0,-5.0,1.1443743780567048,5.0,5.0,-1.144374378056705
3.7753210067749023,-5.0,5.0,-0.2873397683023581,5.0,-5.0,0.2873397683023581
3.806952476501465,2.0772049374185353,-5.0,5.0,-2.0772049374185344,5.0,-5.0
3.8408024311065674,5.0,-5.0,-1.1328686607365248,-5.0,5.0,1.132868660736525
3.869309902191162,5.0,5.0,-0.2708425631607189,-5.0,-5.0,0.27084256316071886
3.8989756107330322,-4.240936393855868,-5.0,-5.0,4.240936393855869,5.0,5.0
3.92883038520813,-5.0,-5.0,1.1445960296541227,5.0,5.0,-1.1445960296541227
3.957690477371216,-5.0,5.0,-0.2880231938514148,5.0,-5.0,0.2880231938514148
3.9869980812072754,2.079672503945224,-5.0,5.0,-2.0796725039452246,5.0,-5.0
4.015944480895996,5.0,-5.0,-1.1327065329330268,-5.0,5.0,1.1327065329330268
4.045770645141602,5.0,5.0,-0.2706426500318808,-5.0,-5.0,0.2706426500318809
4.077302932739258,-4.2367312830415225,-5.0,-5.0,4.236731283041522,5.0,5.0
4.107332468032837,-5.0,-5.0,1.1443656440895786,5.0,5.0,-1.1443656440895789
4.137779951095581,-5.0,5.0,-0.2880747375282264,5.0,-5.0,0.2880747375282263
4.168546676635742,2.079109441821704,-5.0,5.0,-2.0791094418217027,5.0,-5.0
4.196962833404541,5.0,-5.0,-1.132478939804067,-5.0,5.0,1.1324789398040664
4.227957487106323,5.0,5.0,-0.2704409912353888,-5.0,-5.0,0.2704409912353887
4.257497549057007,-4.2355667489989735,-5.0,-5.0,4.2355667489989735,5.0,5.0
4.291240692138672,-5.0,-5.0,1.14411208782464,5.0,5.0,-1.1441120878246402
4.325937271118164,-5.0,5.0,-0.2881981159612095,5.0,-5.0,0.28819811596120953
4.359607934951782,2.0784093281801037,-5.0,5.0,-2.078409328180103,5.0,-5.0
4.391761064529419,5.0,-5.0,-1.1323115391724772,-5.0,5.0,1.1323115391724767
4.42336893081665,5.0,5.0,-0.27023560821699283,-5.0,-5.0,0.2702356082169929
4.454963445663452,-4.23457737396393,-5.0,-5.0,4.23457737396393,5.0,5.0
4.485066890716553,-5.0,-5.0,1.1438703009063123,5.0,5.0,-1.1438703009063123
4.515700817108154,-5.0,5.0,-0.28834059704248705,5.0,-5.0,0.28834059704248693
4.54824423789978,2.0778750376087305,-5.0,5.0,-2.077875037608729,5.0,-5.0
4.578073978424072,5.0,-5.0,-1.1321500886118274,-5.0,5.0,1.1321500886118274
4.608468532562256,5.0,5.0,-0.2700264471142539,-5.0,-5.0,0.27002644711425383
4.640013694763184,-4.233590463744175,-5.0,-5.0,4.233590463744174,5.0,5.0
4.671997547149658,-5.0,-5.0,1.1436341497241287,5.0,5.0,-1.1436341497241285
4.69591498374939,-5.0,5.0,-0.2884892375591951,5.0,-5.0,0.2884892375591951
4.727101564407349,2.0773811128168993,-5.0,5.0,-2.0773811128168984,5.0,-5.0
4.755855560302734,5.0,-5.0,-1.1319899633720714,-5.0,5.0,1.1319899633720718
4.787418842315674,5.0,5.0,-0.269815358980315,-5.0,-5.0,0.26981535898031495
4.818929433822632,-4.232596570890031,-5.0,-5.0,4.232596570890031,5.0,5.0
4.848903179168701,-5.0,-5.0,1.1433996329267313,5.0,5.0,-1.1433996329267313
4.879501104354858,-5.0,5.0,-0.28863894389486333,5.0,-5.0,0.2886389438948634
4.909757137298584,2.076887852810384,-5.0,5.0,-2.0768878528103847,5.0,-5.0
4.9413769245147705,5.0,-5.0,-1.1318302127570328,-5.0,5.0,1.1318302127570334
4.96919846534729,5.0,5.0,-0.26960380275327506,-5.0,-5.0,0.26960380275327506
4.993994235992432,-4.2316008375827,-5.0,-5.0,4.2316008375827,5.0,5.0
5.025094509124756,-5.0,-5.0,1.1431652953793685,5.0,5.0,-1.1431652953793683
5.056520700454712,-5.0,5.0,-0.2887887427417301,5.0,-5.0,0.28878874274173
5.088504314422607,2.0763927655652967,-5.0,5.0,-2.0763927655652976,5.0,-5.0
5.114809989929199,5.0,-5.0,-1.1316705209464233,-5.0,5.0,1.1316705209464235
5.146535396575928,5.0,5.0,-0.2693921786724349,-5.0,-5.0,0.269392178672435
5.177568435668945,-4.230604462480928,-5.0,-5.0,4.230604462480929,5.0,5.0
5.207258939743042,-5.0,-5.0,1.1429309138898402,5.0,5.0,-1.1429309138898405
5.232024908065796,-5.0,5.0,-0.28893856997829176,5.0,-5.0,0.2889385699782917
5.263756036758423,2.0758972365948307,-5.0,5.0,-2.075897236594831,5.0,-5.0
5.294109106063843,5.0,-5.0,-1.1315107866442826,-5.0,5.0,1.1315107866442826
5.324975967407227,5.0,5.0,-0.2691805400830113,-5.0,-5.0,0.2691805400830113
5.354224681854248,-4.2296077698698165,-5.0,-5.0,4.2296077698698165,5.0,5.0
5.383146286010742,-5.0,-5.0,1.1426964877162673,5.0,5.0,-1.1426964877162673
5.413897514343262,-5.0,5.0,-0.28908844312773707,5.0,-5.0,0.28908844312773707
5.439166069030762,2.075401723222756,-5.0,5.0,-2.0754017232227553,5.0,-5.0
5.4701433181762695,5.0,-5.0,-1.1313509888072728,-5.0,5.0,1.1313509888072726
5.504245042800903,5.0,5.0,-0.26896888819870385,-5.0,-5.0,0.26896888819870385
5.54100775718689,-4.228610827705544,-5.0,-5.0,4.228610827705543,5.0,5.0
5.575256824493408,-5.0,-5.0,1.1424620279163933,5.0,5.0,-1.1424620279163928
5.607877969741821,-5.0,5.0,-0.2892383688601035,5.0,-5.0,0.2892383688601035
5.644868850708008,2.074906266856588,-5.0,5.0,-2.0749062668565887,5.0,-5.0
5.678500652313232,5.0,-5.0,-1.1311911285265208,-5.0,5.0,1.1311911285265208
5.7132649421691895,5.0,5.0,-0.268757219950562,-5.0,-5.0,0.2687572199505619
5.749776363372803,-4.227613666072293,-5.0,-5.0,4.227613666072294,5.0,5.0
5.779605388641357,-5.0,-5.0,1.1422275388538212,5.0,5.0,-1.1422275388538212
5.8097004890441895,-5.0,5.0,-0.28938834989039397,5.0,-5.0,0.2893883498903939
5.838668584823608,2.0744108546633986,-5.0,5.0,-2.074410854663398,5.0,-5.0
5.8677568435668945,5.0,-5.0,-1.131031208705936,-5.0,5.0,1.131031208705936
5.898683547973633,5.0,5.0,-0.2685455337668676,-5.0,-5.0,0.2685455337668676
5.931171894073486,-4.22661629502461,-5.0,-5.0,4.226616295024609,5.0,5.0
