time,lam_star_Fx,lam_star_Fy,lam_star_Fz,lam_star_Tx,lam_star_Ty,lam_star_Tz,meas_Fx,meas_Fy,meas_Fz,meas_Tx,meas_Ty,meas_Tz,v_final_Fx,v_final_Fy,v_final_Fz,v_final_Tx,v_final_Ty,v_final_Tz
1757905664.227301,-4.0,0.0,0.0,0.0,0.0,0.0,-6.390000000000001,-0.1899999999999995,-0.3899999999999999,0.174,0.766,-0.037,0.011950000000000002,0.0,16.85583392948055,0.0,0.0,0.0
1757905664.2866657,-4.0,0.0,0.0,0.0,0.0,0.0,-6.23,0.11000000000000121,-1.0699999999999998,0.178,0.784,-0.04,0.011150000000000002,0.0,-28.823783460177857,0.0,0.0,0.0
1757905664.3367214,-4.0,0.0,0.0,0.0,0.0,0.0,-5.649999999999999,0.23000000000000043,-0.6299999999999999,0.192,0.773,-0.035,0.008249999999999993,0.0,47.495303217824585,0.0,0.0,0.0
1757905664.3966417,-4.0,0.0,0.0,0.0,0.0,0.0,-6.169999999999998,0.19000000000000128,-1.19,0.179,0.802,-0.046,0.010849999999999992,0.0,8.31594732692872,0.0,0.0,0.0
1757905664.4467485,-4.0,0.0,0.0,0.0,0.0,0.0,-6.59,-0.75,-1.0899999999999999,0.164,0.754,-0.038,0.01295,0.0,8.442285518195618,0.0,0.0,0.0
1757905664.4968865,-11.955176703001925,0.0,0.0,0.0,0.0,0.0,-6.07,-1.5899999999999999,-4.51,0.22,0.779,-0.043000000000000003,-0.029425883515009625,0.0,9.063670036791583,0.0,0.0,0.0
1757905664.5468905,-4.0,0.0,0.0,0.0,0.0,0.0,-5.27,-0.9299999999999997,-0.59,0.199,0.808,-0.076,0.006349999999999998,0.0,11.858409182801198,0.0,0.0,0.0
1757905664.6066597,-7.689684648930668,0.0,0.0,0.0,0.0,0.0,-6.59,-1.6899999999999995,-2.57,0.225,0.8640000000000001,-0.065,-0.005498423244653341,0.0,14.938682747813738,0.0,0.0,0.0
1757905664.6566646,-4.0,0.0,0.0,0.0,0.0,0.0,-6.41,0.23000000000000043,-1.03,0.244,0.877,-0.064,0.012050000000000002,0.0,-19.13637712326056,0.0,0.0,0.0
1757905664.716838,-5.872925165537186,0.0,0.0,0.0,0.0,0.0,-7.129999999999999,-1.3099999999999987,-1.95,0.242,0.8440000000000001,-0.069,0.006285374172314065,0.0,10.141627494083142,0.0,0.0,0.0
1757905664.766908,-4.957443897816695,0.0,0.0,0.0,0.0,0.0,-6.689999999999998,-0.8099999999999987,-1.81,0.252,0.847,-0.069,0.008662780510916512,0.0,19.035462188845454,0.0,0.0,0.0
1757905664.826642,-6.521598730372789,0.0,0.0,0.0,0.0,0.0,-6.75,-0.5499999999999989,-2.55,0.266,0.853,-0.066,0.0011420063481360555,0.0,-17.048519873084043,0.0,0.0,0.0
1757905664.8768308,-5.944009589494282,0.0,0.0,0.0,0.0,0.0,-6.550000000000001,-1.2699999999999996,-2.01,0.244,0.839,-0.068,0.003029952052528593,0.0,13.298675668228974,0.0,0.0,0.0
1757905664.9366815,-7.471361990962558,0.0,0.0,0.0,0.0,0.0,-5.949999999999999,-2.75,-1.17,0.303,0.8760000000000001,-0.1,-0.007606809954812795,0.0,9.661059878138602,0.0,0.0,0.0
1757905664.9867954,-14.188771969412995,0.0,0.0,0.0,0.0,0.0,-6.349999999999998,3.8499999999999996,-4.17,0.202,0.796,0.0020000000000000018,-0.039193859847064985,0.0,0.0,0.0,0.0,0.0
1757905665.047068,-11.334956991537288,0.0,0.0,0.0,0.0,0.0,-6.509999999999998,0.6300000000000008,-4.49,0.237,0.877,-0.07,-0.02412478495768645,0.0,0.0,0.0,0.0,0.0
1757905665.1067212,-4.0,0.0,0.0,0.0,0.0,0.0,-7.75,-0.4499999999999993,-0.18999999999999995,0.28,1.033,-0.087,0.01875,0.0,0.0,0.0,0.0,0.0
1757905665.1570985,-6.469640639169998,0.0,0.0,0.0,0.0,0.0,-10.489999999999998,-0.8899999999999988,-2.4299999999999997,0.273,0.925,-0.06,0.02010179680415,0.0,0.0,0.0,0.0,0.0
1757905665.2086024,-7.543291721788306,0.0,0.0,0.0,0.0,0.0,-9.629999999999999,0.21000000000000085,-3.01,0.269,0.956,-0.055,0.010433541391058463,0.0,0.0,0.0,0.0,0.0
1757905665.2680569,-4.375642809919475,0.0,0.0,0.0,0.0,0.0,-8.829999999999998,0.030000000000001137,-1.75,0.267,0.901,-0.062,0.02227178595040262,0.0,0.0,0.0,0.0,0.0
1757905665.3274167,-4.0,0.0,0.0,0.0,0.0,0.0,-6.329999999999998,-0.1899999999999995,-1.03,0.269,0.899,-0.066,0.011649999999999992,0.0,0.0,0.0,0.0,0.0
1757905665.3866706,-4.193000119246361,0.0,0.0,0.0,0.0,0.0,-6.489999999999998,-0.5899999999999999,-1.5699999999999998,0.245,0.8860000000000001,-0.056,0.011484999403768188,0.0,0.0,0.0,0.0,0.0
1757905665.4467497,-4.430716646322579,0.0,0.0,0.0,0.0,0.0,-5.849999999999998,-0.08999999999999986,-1.77,0.227,0.865,-0.07200000000000001,0.007096416768387095,0.0,0.0,0.0,0.0,0.0
1757905665.506701,-4.0,0.0,0.0,0.0,0.0,0.0,-5.149999999999999,-0.129999999999999,-1.27,0.247,0.8460000000000001,-0.054,0.005749999999999993,0.0,0.0,0.0,0.0,0.0
1757905665.56664,-5.704055574764327,0.0,0.0,0.0,0.0,0.0,-4.289999999999999,0.23000000000000043,-2.27,0.243,0.871,-0.068,-0.00707027787382164,0.0,0.0,0.0,0.0,0.0
